
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           gnistFront                                          

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
   -15.00    10.00    48.37    51.49    39.13    -2.67     0.57    -0.04    -0.83    -1.20   -15.01    10.00     0.00     0.00
   -15.00    15.00    62.47    50.17    35.31    -2.67     0.50    -0.04    -1.01    -1.43   -15.01    15.00     0.00     0.00
   -15.00    20.00    78.96    48.63    31.26    -2.67     0.20    -0.04    -1.19    -1.67   -15.01    20.00     0.00     0.00
   -15.00    25.00    98.54    46.79    26.92    -2.67    -0.33    -0.04    -1.37    -1.91   -15.01    24.99     0.00     0.00
   -15.00    30.00   122.22    44.57    22.20    -2.67    -1.09    -0.04    -1.56    -2.15   -15.01    29.99     0.00     0.00
   -15.00    35.00   151.49    41.82    16.95    -2.67    -2.07    -0.04    -1.75    -2.39   -15.01    34.98     0.00     0.00
   -15.00    40.00   188.70    38.33    10.96    -2.67    -3.27    -0.04    -1.95    -2.63   -15.01    39.97     0.00     0.00
   -15.00     0.00    25.46    53.64    46.28    -2.67     0.00    -0.04    -0.50    -0.72   -15.01     0.00     0.00     0.00
   -15.00    -5.00    16.01    54.53    49.67    -2.67    -0.64    -0.04    -0.34    -0.48   -15.01    -5.00     0.00     0.00
   -15.00   -10.00     7.58    55.32    52.96    -2.67    -1.53    -0.04    -0.19    -0.24   -15.01   -10.00     0.00     0.00
   -15.00   -15.00     0.00    56.03    56.17    -2.67    -2.67    -0.04    -0.04     0.00   -15.01   -15.01     0.00     0.00
   -15.00   -20.00    -6.85    56.67    59.31    -2.67    -4.07    -0.04     0.11     0.24   -15.01   -20.01     0.00     0.00
   -15.00   -25.00   -13.08    57.26    62.39    -2.67    -5.72    -0.04     0.25     0.48   -15.01   -25.02     0.00     0.00
   -15.00   -30.00   -18.78    57.79    65.42    -2.67    -7.64    -0.04     0.39     0.72   -15.01   -30.02     0.00     0.00
   -15.00   -35.00   -24.02    58.28    68.41    -2.67    -9.83    -0.04     0.52     0.96   -15.01   -35.03     0.00     0.00
   -15.00   -40.00   -28.85    58.74    71.36    -2.67   -12.30    -0.04     0.65     1.21   -15.01   -40.03     0.00     0.00
   -20.00     0.00    31.99    54.05    49.18    -4.07     0.00     0.11    -0.50    -0.96   -20.01     0.00     0.00     0.00
   -20.00     5.00    42.38    52.96    45.60    -4.07     0.40     0.11    -0.66    -1.20   -20.01     5.00     0.00     0.00
   -20.00    10.00    54.15    51.73    41.87    -4.07     0.57     0.11    -0.83    -1.44   -20.01    10.00     0.00     0.00
   -20.00    15.00    67.57    50.33    37.96    -4.07     0.50     0.11    -1.01    -1.67   -20.01    15.00     0.00     0.00
   -20.00    20.00    83.07    48.71    33.84    -4.07     0.20     0.11    -1.19    -1.91   -20.01    20.00     0.00     0.00
   -20.00    25.00   101.19    46.82    29.45    -4.07    -0.33     0.11    -1.37    -2.15   -20.01    24.99     0.00     0.00
   -20.00    30.00   122.70    44.57    24.70    -4.07    -1.09     0.11    -1.56    -2.39   -20.01    29.99     0.00     0.00
   -20.00    35.00   148.69    41.85    19.48    -4.07    -2.07     0.11    -1.75    -2.63   -20.01    34.98     0.00     0.00
   -20.00    40.00   180.79    38.50    13.63    -4.07    -3.27     0.11    -1.95    -2.88   -20.01    39.97     0.00     0.00
   -20.00     0.00    31.99    54.05    49.18    -4.07     0.00     0.11    -0.50    -0.96   -20.01     0.00     0.00     0.00
   -20.00    -5.00    22.71    55.02    52.65    -4.07    -0.64     0.11    -0.34    -0.72   -20.01    -5.00     0.00     0.00
   -20.00   -10.00    14.38    55.89    56.02    -4.07    -1.53     0.11    -0.19    -0.48   -20.01   -10.00     0.00     0.00
   -20.00   -15.00     6.85    56.67    59.31    -4.07    -2.67     0.11    -0.04    -0.24   -20.01   -15.01     0.00     0.00
   -20.00   -20.00     0.00    57.39    62.52    -4.07    -4.07     0.11     0.11     0.00   -20.01   -20.01     0.00     0.00
   -20.00   -25.00    -6.26    58.04    65.68    -4.07    -5.72     0.11     0.25     0.24   -20.01   -25.02     0.00     0.00
   -20.00   -30.00   -12.02    58.65    68.77    -4.07    -7.64     0.11     0.39     0.48   -20.01   -30.02     0.00     0.00
   -20.00   -35.00   -17.33    59.20    71.83    -4.07    -9.83     0.11     0.52     0.72   -20.01   -35.03     0.00     0.00
   -20.00   -40.00   -22.24    59.71    74.84    -4.07   -12.30     0.11     0.65     0.97   -20.01   -40.03     0.00     0.00
   -25.00     0.00    37.81    54.41    52.04    -5.72     0.00     0.25    -0.50    -1.20   -25.02     0.00     0.00     0.00
   -25.00     5.00    47.90    53.25    48.38    -5.72     0.40     0.25    -0.66    -1.44   -25.02     5.00     0.00     0.00
   -25.00    10.00    59.22    51.94    44.58    -5.72     0.57     0.25    -0.83    -1.68   -25.02    10.00     0.00     0.00
   -25.00    15.00    72.02    50.47    40.60    -5.72     0.50     0.25    -1.01    -1.92   -25.02    15.00     0.00     0.00
   -25.00    20.00    86.63    48.78    36.41    -5.72     0.20     0.25    -1.19    -2.16   -25.02    20.00     0.00     0.00
   -25.00    25.00   103.49    46.84    31.97    -5.72    -0.33     0.25    -1.37    -2.40   -25.02    24.99     0.00     0.00
   -25.00    30.00   123.19    44.57    27.20    -5.72    -1.09     0.25    -1.56    -2.64   -25.02    29.99     0.00     0.00
   -25.00    35.00   146.56    41.88    22.00    -5.72    -2.07     0.25    -1.75    -2.88   -25.02    34.98     0.00     0.00
   -25.00    40.00   174.76    38.62    16.25    -5.72    -3.27     0.25    -1.95    -3.12   -25.02    39.97     0.00     0.00
   -25.00     0.00    37.81    54.41    52.04    -5.72     0.00     0.25    -0.50    -1.20   -25.02     0.00     0.00     0.00
   -25.00    -5.00    28.74    55.45    55.59    -5.72    -0.64     0.25    -0.34    -0.96   -25.02    -5.00     0.00     0.00
   -25.00   -10.00    20.54    56.40    59.03    -5.72    -1.53     0.25    -0.19    -0.72   -25.02   -10.00     0.00     0.00
   -25.00   -15.00    13.08    57.26    62.39    -5.72    -2.67     0.25    -0.04    -0.48   -25.02   -15.01     0.00     0.00
   -25.00   -20.00     6.26    58.04    65.68    -5.72    -4.07     0.25     0.11    -0.24   -25.02   -20.01     0.00     0.00
   -25.00   -25.00     0.00    58.77    68.90    -5.72    -5.72     0.25     0.25     0.00   -25.02   -25.02     0.00     0.00
   -25.00   -30.00    -5.78    59.43    72.06    -5.72    -7.64     0.25     0.39     0.24   -25.02   -30.02     0.00     0.00
   -25.00   -35.00   -11.13    60.05    75.17    -5.72    -9.83     0.25     0.52     0.48   -25.02   -35.03     0.00     0.00
   -25.00   -40.00   -16.10    60.62    78.25    -5.72   -12.30     0.25     0.65     0.73   -25.02   -40.03     0.00     0.00
   -30.00     0.00    43.05    54.73    54.87    -7.64     0.00     0.39    -0.50    -1.44   -30.02     0.00     0.00     0.00
   -30.00     5.00    52.84    53.50    51.13    -7.64     0.40     0.39    -0.66    -1.68   -30.02     5.00     0.00     0.00
   -30.00    10.00    63.73    52.13    47.26    -7.64     0.57     0.39    -0.83    -1.92   -30.02    10.00     0.00     0.00
   -30.00    15.00    75.95    50.59    43.22    -7.64     0.50     0.39    -1.01    -2.16   -30.02    15.00     0.00     0.00
   -30.00    20.00    89.76    48.84    38.98    -7.64     0.20     0.39    -1.19    -2.40   -30.02    20.00     0.00     0.00
   -30.00    25.00   105.51    46.86    34.49    -7.64    -0.33     0.39    -1.37    -2.64   -30.02    24.99     0.00     0.00
   -30.00    30.00   123.68    44.57    29.70    -7.64    -1.09     0.39    -1.56    -2.88   -30.02    29.99     0.00     0.00
   -30.00    35.00   144.90    41.89    24.52    -7.64    -2.07     0.39    -1.75    -3.12   -30.02    34.98     0.00     0.00
   -30.00    40.00   170.04    38.72    18.85    -7.64    -3.27     0.39    -1.95    -3.36   -30.02    39.97     0.00     0.00
   -30.00     0.00    43.05    54.73    54.87    -7.64     0.00     0.39    -0.50    -1.44   -30.02     0.00     0.00     0.00
   -30.00    -5.00    34.19    55.85    58.48    -7.64    -0.64     0.39    -0.34    -1.20   -30.02    -5.00     0.00     0.00
   -30.00   -10.00    26.14    56.87    62.00    -7.64    -1.53     0.39    -0.19    -0.96   -30.02   -10.00     0.00     0.00
   -30.00   -15.00    18.78    57.79    65.42    -7.64    -2.67     0.39    -0.04    -0.72   -30.02   -15.01     0.00     0.00
   -30.00   -20.00    12.02    58.65    68.77    -7.64    -4.07     0.39     0.11    -0.48   -30.02   -20.01     0.00     0.00
   -30.00   -25.00     5.78    59.43    72.06    -7.64    -5.72     0.39     0.25    -0.24   -30.02   -25.02     0.00     0.00
   -30.00   -30.00     0.00    60.16    75.29    -7.64    -7.64     0.39     0.39     0.00   -30.02   -30.02     0.00     0.00
   -30.00   -35.00    -5.37    60.84    78.46    -7.64    -9.83     0.39     0.52     0.24   -30.02   -35.03     0.00     0.00
   -30.00   -40.00   -10.38    61.47    81.59    -7.64   -12.30     0.39     0.65     0.48   -30.02   -40.03     0.00     0.00
   -35.00     0.00    47.79    55.03    57.66    -9.83     0.00     0.52    -0.50    -1.68   -35.03     0.00     0.00     0.00
   -35.00     5.00    57.28    53.73    53.86    -9.83     0.40     0.52    -0.66    -1.92   -35.03     5.00     0.00     0.00
   -35.00    10.00    67.77    52.29    49.92    -9.83     0.57     0.52    -0.83    -2.16   -35.03    10.00     0.00     0.00
   -35.00    15.00    79.45    50.69    45.82    -9.83     0.50     0.52    -1.01    -2.40   -35.03    15.00     0.00     0.00
   -35.00    20.00    92.53    48.90    41.53    -9.83     0.20     0.52    -1.19    -2.64   -35.03    20.00     0.00     0.00
   -35.00    25.00   107.31    46.88    37.00    -9.83    -0.33     0.52    -1.37    -2.88   -35.03    24.99     0.00     0.00
   -35.00    30.00   124.17    44.57    32.19    -9.83    -1.09     0.52    -1.56    -3.12   -35.03    29.99     0.00     0.00
   -35.00    35.00   143.60    41.91    27.03    -9.83    -2.07     0.52    -1.75    -3.37   -35.03    34.98     0.00     0.00
   -35.00    40.00   166.26    38.80    21.42    -9.83    -3.27     0.52    -1.95    -3.61   -35.03    39.97     0.00     0.00
   -35.00     0.00    47.79    55.03    57.66    -9.83     0.00     0.52    -0.50    -1.68   -35.03     0.00     0.00     0.00
   -35.00    -5.00    39.16    56.21    61.34    -9.83    -0.64     0.52    -0.34    -1.44   -35.03    -5.00     0.00     0.00
   -35.00   -10.00    31.27    57.29    64.92    -9.83    -1.53     0.52    -0.19    -1.20   -35.03   -10.00     0.00     0.00
   -35.00   -15.00    24.02    58.28    68.41    -9.83    -2.67     0.52    -0.04    -0.96   -35.03   -15.01     0.00     0.00
   -35.00   -20.00    17.33    59.20    71.83    -9.83    -4.07     0.52     0.11    -0.72   -35.03   -20.01     0.00     0.00
   -35.00   -25.00    11.13    60.05    75.17    -9.83    -5.72     0.52     0.25    -0.48   -35.03   -25.02     0.00     0.00
   -35.00   -30.00     5.37    60.84    78.46    -9.83    -7.64     0.52     0.39    -0.24   -35.03   -30.02     0.00     0.00
   -35.00   -35.00     0.00    61.57    81.70    -9.83    -9.83     0.52     0.52     0.00   -35.03   -35.03     0.00     0.00
   -35.00   -40.00    -5.02    62.26    84.88    -9.83   -12.30     0.52     0.65     0.24   -35.03   -40.03     0.00     0.00
   -40.00     0.00    52.12    55.30    60.42   -12.30     0.00     0.65    -0.50    -1.93   -40.03     0.00     0.00     0.00
   -40.00     5.00    61.31    53.94    56.57   -12.30     0.40     0.65    -0.66    -2.17   -40.03     5.00     0.00     0.00
   -40.00    10.00    71.42    52.44    52.57   -12.30     0.57     0.65    -0.83    -2.41   -40.03    10.00     0.00     0.00
   -40.00    15.00    82.59    50.79    48.42   -12.30     0.50     0.65    -1.01    -2.65   -40.03    15.00     0.00     0.00
   -40.00    20.00    95.01    48.95    44.08   -12.30     0.20     0.65    -1.19    -2.89   -40.03    20.00     0.00     0.00
   -40.00    25.00   108.93    46.89    39.52   -12.30    -0.33     0.65    -1.37    -3.13   -40.03    24.99     0.00     0.00
   -40.00    30.00   124.65    44.57    34.69   -12.30    -1.09     0.65    -1.56    -3.37   -40.03    29.99     0.00     0.00
   -40.00    35.00   142.56    41.92    29.54   -12.30    -2.07     0.65    -1.75    -3.61   -40.03    34.98     0.00     0.00
   -40.00    40.00   163.19    38.87    23.99   -12.30    -3.27     0.65    -1.95    -3.85   -40.03    39.97     0.00     0.00
   -40.00     0.00    52.12    55.30    60.42   -12.30     0.00     0.65    -0.50    -1.93   -40.03     0.00     0.00     0.00
   -40.00    -5.00    43.71    56.54    64.17   -12.30    -0.64     0.65    -0.34    -1.69   -40.03    -5.00     0.00     0.00
   -40.00   -10.00    35.98    57.68    67.81   -12.30    -1.53     0.65    -0.19    -1.45   -40.03   -10.00     0.00     0.00
   -40.00   -15.00    28.85    58.74    71.36   -12.30    -2.67     0.65    -0.04    -1.21   -40.03   -15.01     0.00     0.00
   -40.00   -20.00    22.24    59.71    74.84   -12.30    -4.07     0.65     0.11    -0.97   -40.03   -20.01     0.00     0.00
   -40.00   -25.00    16.10    60.62    78.25   -12.30    -5.72     0.65     0.25    -0.73   -40.03   -25.02     0.00     0.00
   -40.00   -30.00    10.38    61.47    81.59   -12.30    -7.64     0.65     0.39    -0.48   -40.03   -30.02     0.00     0.00
   -40.00   -35.00     5.02    62.26    84.88   -12.30    -9.83     0.65     0.52    -0.24   -40.03   -35.03     0.00     0.00
   -40.00   -40.00     0.00    63.00    88.12   -12.30   -12.30     0.65     0.65     0.00   -40.03   -40.03     0.00     0.00
